vel_tan,time_1,time_2,time_3,time_4,time_5
-9805.1062138625,17931.290000063527,35862.579998319045,53793.86000197213,71725.150001122,89656.43999172836
-9756.080682793188,17014.05000021035,34028.09999794531,51042.15000141153,68056.20000304405,85070.23999413093
-9707.055151723875,16176.480000306676,32352.949997755037,48529.42000089962,64705.8900041952,80882.35999632483
-9658.029620654563,15409.160000289927,30818.319998000687,46227.48000043065,61636.64000356991,77045.79999833468
-9609.00408958525,14704.100000274537,29408.199998226406,44112.28999999973,58816.39000299535,73520.48000018149
-9559.978558515937,14054.410000260355,28108.8199984344,42163.229999602656,56217.630002465914,70272.04000188324
-9510.953027446625,13454.170000247253,26908.33999862656,40362.4999992358,53816.670001976774,67270.84000345548
-9461.927496377313,12898.250000235119,25796.489998804536,38694.72999889603,51592.97000152375,64491.210004151464
-9412.901965308,12382.170000223854,24764.329998969755,37146.48999858061,49528.65000110319,61910.81000362577
-9363.876434238688,11902.030000213374,23804.059999123467,35706.08999828716,47608.120000711926,59510.15000313669
-9314.850903169376,11454.420000203603,22908.839999266766,34363.25999801359,45817.680000347165,57272.10000268074
-9265.825372100062,11036.320000194477,22072.639999400617,33108.949997758056,44145.27000000645,55181.58000225484
-9216.79984103075,10645.060000185937,21290.119999525876,31935.17999782191,42580.23999968761,53225.290001856294
-9167.774309961438,10278.29000017793,20556.569999643296,30834.84999799804,41113.139999388724,51391.420001482686
-9118.748778892124,9933.900000170413,19867.78999975355,29801.67999816342,39735.56999910808,49669.460001131876
-9069.723247822812,9610.010000163344,19220.01999985724,28830.029998318954,38440.03999884414,48050.05000080196
-9020.6977167535,9304.970000156685,18609.929999954897,27914.88999846544,37219.84999859556,46524.81000049123
-8971.672185684187,9017.250000150405,18034.490000047008,27051.739998603607,36068.979998361094,45086.23000019815
-8922.646654614875,8745.510000144473,17491.020000134,26236.5199987341,34982.02999813965,43727.53999992135
-8873.621123545563,8488.530000138864,16977.060000216272,25465.589998857504,33954.11999793024,42442.64999965958
-8824.59559247625,8245.210000133553,16490.42000029417,24735.62999897435,32980.83999773196,41226.04999941173
-8775.570061406937,8014.560000128519,16029.110000303459,24043.659999085114,32058.209997802216,40072.75999917677
-8726.544530337625,7795.650000123741,15591.300000293902,23386.949999190234,31182.599997942376,38978.24999895379
-8677.518999268312,7587.680000119201,15175.360000284823,22763.039999290104,30350.719998075536,37938.38999874194
-8628.493468199,7389.890000114884,14779.780000276189,22169.669999385085,29559.559998202178,36949.44999854047
-8579.467937129688,7201.600000110774,14403.200000267969,21604.789999475506,28806.38999832274,36007.97999834867
-8530.442406060376,7022.180000106858,14044.350000260136,21066.519999561668,28088.68999843762,35110.8599981659
-8481.416874991062,6851.050000103122,13702.090000252665,20553.129999643847,27404.169998547193,34255.20999799158
-8432.39134392175,6687.680000099556,13375.360000245533,20063.039999722296,26750.71999865179,33438.399997825174
-8383.365812852438,6531.61000009615,13063.21000023872,19594.809999797246,26126.409998751726,32658.009997706205
-8334.340281783125,6382.360000092892,12764.720000232204,19147.079999868914,25529.439998847283,31911.799997825652
-8285.314750713813,6239.550000089775,12479.09000022597,18718.629999937497,24958.169998938727,31197.709997939957
-8236.289219644501,6102.770000086789,12205.540000219999,18308.310000003177,24411.0799990263,30513.839998049425
-8187.263688575187,5971.690000083928,11943.380000214276,17915.070000066124,23886.75999911023,29858.449998154334
-8138.238157505875,5845.980000081184,11691.960000208788,17537.930000126493,23383.90999919072,29229.88999825495
-8089.2126264365625,5725.3400000785505,11450.670000203521,17176.000000184427,22901.329999267968,28626.659998351508
-8040.187095367251,5609.4800000760215,11218.950000198463,16828.420000240065,22437.88999934215,28047.359998444237
-7991.161564297938,5498.140000073591,10996.280000193603,16494.41000029353,21992.549999413437,27490.679998533345
-7942.136033228625,5391.0900000712545,10782.17000018893,16173.250000306605,21564.33999948198,26955.419998619025
-7893.110502159313,5288.090000069006,10576.180000184433,15864.27000029986,21152.359999547927,26440.43999870146
-7844.08497109,5188.940000066842,10377.880000180105,15566.820000293368,20755.75999961141,25944.699998780812
-7795.059440020688,5093.440000064757,10186.880000175935,15280.320000287114,20373.75999967256,25467.199998857246
-7746.033908951375,5001.410000062749,10002.820000171918,15004.220000281088,20005.629999731485,25007.029998930906
-7697.008377882063,4912.670000060812,9825.330000168044,14738.000000275277,19650.659999788306,24563.32999900193
-7647.982846812751,4827.060000058943,9654.120000164306,14481.180000269671,19308.22999984312,24135.289999070446
-7598.957315743438,4744.4400000571395,9488.8700001607,14233.30000026426,18977.729999896022,23722.159999136577
-7549.931784674125,4664.650000055398,9329.290000157216,13993.940000259036,18658.57999994711,23323.229999200434
-7500.906253604813,4587.570000053715,9175.130000153851,13762.700000253988,18350.259999996462,22937.829999262125
-7451.8807225355,4513.070000052089,9026.140000150599,13539.20000024911,18052.270000044162,22565.33999932175
-7402.8551914661875,4441.040000050517,8882.070000147454,13323.100000244393,17764.130000090285,22205.159999379404
-7353.829660396876,4371.360000048996,8742.710000144412,13114.06000023983,17485.4100001349,21856.759999435173
-7304.804129327563,4303.920000047524,8607.840000141468,12911.760000235414,17215.670000178077,21519.589999489144
-7255.77859825825,4238.640000046099,8477.270000138618,12715.910000231139,16954.540000219877,21193.179999541393
-7206.753067188938,4175.410000044719,8350.820000135858,12526.230000226999,16701.64000026036,20877.049999591996
-7157.727536119625,4114.160000043382,8228.310000133184,12342.460000222987,16456.61000029958,20570.769999641023
-7108.702005050312,4054.7900000420864,8109.570000130593,12164.3500002191,16219.130000307607,20273.91999968854
-7059.6764739810005,3997.23000004083,7994.45000012808,11991.67000021533,15988.890000302581,19986.10999973461
-7010.650942911688,3941.4000000396113,7882.790000125643,11824.180000211674,15765.570000297706,19706.959999779294
-6961.625411842375,3887.230000038429,7774.460000123278,11661.680000208127,15548.910000292977,19436.139999822644
-6912.599880773063,3834.6600000372814,7669.320000120983,11503.980000204685,15338.640000288387,19173.299999864717
-6863.57434970375,3783.6300000361675,7567.250000118755,11350.870000201343,15134.500000283932,18918.119999905564
-6814.548818634437,3734.0700000350857,7468.130000116592,11202.190000198098,14936.250000279604,18670.30999994523
-6765.523287565125,3685.9200000340347,7371.84000011449,11057.750000194945,14743.6700002754,18429.589999983764
