Tangential Velocity,Orbital Period 1,Orbital Period 2,Orbital Period 3,Orbital Period 4,Orbital Period 5,Average Orbital Period,Absolute Uncertainty Orbital Period,Theoretical Period
-3235.69,2096.32,2096.32,2096.32,2096.32,2096.32,2096.32,0.000,2096.319683
-3137.63,2078.99,2078.99,2078.99,2078.98,2078.99,2078.99,0.005,2078.987069
-3039.58,2062.42,2062.41,2062.42,2062.41,2062.42,2062.42,0.005,2062.414497
-2941.53,2046.58,2046.58,2046.58,2046.57,2046.58,2046.58,0.005,2046.576775
-2843.48,2031.46,2031.45,2031.45,2031.45,2031.45,2031.45,0.005,2031.45022
-2745.43,2017.02,2017.01,2017.01,2017.02,2017.01,2017.01,0.005,2017.012567
-2647.38,2003.25,2003.24,2003.24,2003.25,2003.24,2003.24,0.005,2003.242884
-2549.33,1990.13,1990.12,1990.12,1990.12,1990.13,1990.12,0.005,1990.121502
-2451.28,1977.64,1977.63,1977.63,1977.63,1977.63,1977.63,0.005,1977.629941
-2353.23,1965.76,1965.75,1965.75,1965.75,1965.75,1965.75,0.005,1965.750848
-2255.17,1954.47,1954.47,1954.47,1954.47,1954.47,1954.47,0.000,1954.467933
-2157.12,1943.77,1943.77,1943.77,1943.77,1943.76,1943.77,0.005,1943.765919
-2059.07,1933.64,1933.63,1933.63,1933.64,1933.63,1933.63,0.005,1933.630488
-1961.02,1924.06,1924.05,1924.05,1924.05,1924.06,1924.05,0.005,1924.048237
-1862.97,1915.02,1915.01,1915.01,1915.01,1915.02,1915.01,0.005,1915.006629
-1764.92,1906.51,1906.50,1906.50,1906.50,1906.50,1906.50,0.005,1906.493963
-1666.87,1898.52,1898.51,1898.51,1898.51,1898.51,1898.51,0.005,1898.499326
-1568.82,1891.04,1891.03,1891.03,1891.03,1891.03,1891.03,0.005,1891.012569
-1470.77,1884.06,1884.05,1884.05,1884.06,1884.05,1884.05,0.005,1884.024269
-1372.71,1877.58,1877.57,1877.57,1877.57,1877.58,1877.57,0.005,1877.525706
-1274.66,1871.59,1871.59,1871.59,1871.58,1871.59,1871.59,0.005,1871.508831
